#FMR data, this file includes calibration measurements, correction factor and corrected S11
S11a	S11m	S11o	S11l
(47.532711722636364-17.512516541945455j)	(16.5937579762+9.563073331658183j)	(47.647609363899996-17.582112572427274j)	(48.72001058407274+16.447011427445457j)	
(79.09624481202728-31.71627720921819j)	(27.51209328391818-5.131783875548182j)	(79.2975803721818-31.777256011981816j)	(59.637729298027274+13.024632193799999j)	
(74.27823292129092-56.656033949427254j)	(23.511408025572724-31.814808238672725j)	(74.57960648969997-56.698335820963635j)	(50.684576901545455-16.545530145836366j)	
(81.55180775034545-22.59101139412728j)	(24.722299055645454-37.74768135766363j)	(81.8367732654909-22.328568025109096j)	(38.90891196510001-13.064259355681815j)	
(51.06166596848181+55.822689749981805j)	(72.12031832608182-9.678769198326362j)	(50.86531552402726+55.81139269740909j)	(42.21994781495456+19.18724805661818j)	
(45.02782752299092+58.98505644365452j)	(115.6283548528182+21.427342848327267j)	(44.92549896238181+58.89874406297273j)	(58.71420530840908+21.21190452573637j)	
(40.515986355827266+12.682564562009087j)	(93.22328047319998-22.960728905418183j)	(40.39691994408182+12.632891134772724j)	(48.47769997333635-21.042185003063636j)	
(23.113709883281818+7.126733779906364j)	(55.52337715844544+9.462795951153636j)	(23.076910539118177+7.09967400810909j)	(39.41763687131818-11.073186787663634j)	
(19.563864621281816+9.842279520898181j)	(34.57546476885454+25.604195334681823j)	(19.542784604145453+9.774063803933638j)	(43.18874255097271+8.094172044232728j)	
(27.715510801799997+7.87549179250818j)	(33.42271249944546+30.338840137827273j)	(27.72193440520909+7.774071563371819j)	(54.54408784343636+24.268583644554543j)	
(27.07767746661818-24.27362667430908j)	(35.21471092919091-7.520534038547273j)	(27.082100261354544-24.376859318118182j)	(53.46060423414546-13.96457975564545j)	
(23.680528640781823-33.62881018897272j)	(26.590975848127275-20.3302298459j)	(23.71701760724545-33.71471335670909j)	(41.08592466879092-18.095769535363637j)	
(54.555363048190905-27.461484215499997j)	(39.91458372639999-9.727777047591816j)	(54.71902049671818-27.468900333745456j)	(44.93648633092727+11.291471047863636j)	
(105.42924638263634-10.719209237527272j)	(70.12054443361818-7.2976189526636395j)	(105.62587946109089-10.568592244963634j)	(54.645951010936365+22.26139259342727j)	
(104.56878454027273-34.73068688129999j)	(74.39223827017273-36.70070058646365j)	(104.73329440045453-34.54694262418181j)	(52.2854943709091-8.597011999649093j)	
(89.42175778476361-12.948450435290912j)	(74.16253731468179-27.215140429390907j)	(89.52882801403635-12.587066823790906j)	(40.71846875274546-14.90090482887273j)	
(58.77996930211818+45.033217690200004j)	(66.29485598477272+40.53778388285455j)	(58.556723507981815+45.02801721747271j)	(47.46660232543636+8.601312377232725j)	
(41.997607491236366+46.70753097537272j)	(44.37444686888183+51.464874267599996j)	(41.90440646087273+46.604794242163635j)	(55.09865570071817+18.927792289054544j)	
(35.72122227063637+12.350968534263638j)	(35.72121360087271+18.193353999781824j)	(35.631612257545456+12.255885384263639j)	(46.97118134932725-10.340362115354546j)	
(23.96015704758181+0.05349905111571817j)	(21.60266182638182+4.628002556885454j)	(23.947317470181822-0.010868210006863636j)	(38.109121842781825-11.962142164036363j)	
(27.927560112700007+6.870191357353636j)	(21.29219349948182+9.195006283844545j)	(27.911539251181825+6.8195118037118165j)	(51.37284538961819+10.001268040045453j)	
(42.23748987368181-0.9948319901117272j)	(29.24525087533636-0.2598215395755091j)	(42.235553741409085-1.1083278005736363j)	(67.74813704060908+15.86147611791818j)	
(29.639642195236355-23.159644040172726j)	(20.584705352790916-22.572299437100003j)	(29.641182812754547-23.24681732871818j)	(45.58418239248181-9.715700843114547j)	
(29.25466953621818-24.38973097368182j)	(20.814722928145454-29.6093352924909j)	(29.312453009900004-24.426357095899995j)	(36.03060080791818-8.191667556760908j)	
(73.86469060724546-5.42925375158182j)	(69.59105543659092-44.71216444531817j)	(73.9429730502091-5.3274295113272725j)	(55.17989938909092+13.657457264972729j)	
(105.82531946372727+25.923252799309086j)	(163.59472794945447-31.97941519995455j)	(105.75461855836365+26.159275748499997j)	(65.79230984771817+16.535140297609086j)	
(76.04519306534547+1.9178466905272729j)	(129.64824745881816-28.756556597609098j)	(75.95953091706365+2.067813721568182j)	(44.8966875943091-9.017487439245455j)	
(46.64562606808183+10.296543468145455j)	(88.23579753526366+21.297950397827275j)	(46.59075268830001+10.327065121054543j)	(31.943848696590905-8.04249962893091j)	
(41.047819657781815+38.30764597111818j)	(41.69499275897273+72.3565874966818j)	(40.97387071088182+38.23583915016363j)	(51.684151042545444+10.24604398550909j)	
(43.75412091343636+36.727283130954554j)	(30.231356707481822+58.68052153154546j)	(43.622852325481816+36.55968891488182j)	(70.83467171406362+13.456843549536362j)	
(29.086342898299993+3.8111355738172734j)	(22.103374134427266+16.058008367327268j)	(29.016814491963643+3.7473207603763625j)	(45.15502478862726-8.97187024896727j)	
(19.72779169950909-4.06047534942909j)	(10.55434955250909+3.5672053640563632j)	(19.730019482709096-4.104486682200001j)	(35.324989665681805-7.598193428731817j)	
(34.16460314663637-6.83052297072j)	(15.597876115318181-1.7467389323472722j)	(34.19928637415453-6.881284410299091j)	(54.668808330172716+5.19423046979182j)	
(52.035314039772736-17.500435915890918j)	(24.307094920781818-15.965122482990909j)	(52.15248350666363-17.55211257931818j)	(69.4219339544091+12.950920625181816j)	
(38.113092942700014-28.464912241172723j)	(16.083334315909095-28.20470255069091j)	(38.18345156586362-28.5706499272909j)	(46.569587360700005-3.198505943472728j)	
(41.81841208714547-25.639640634727268j)	(18.835926749490916-35.80130594427273j)	(41.93891455907273-25.68847586893636j)	(36.436841444509085-1.8900129036454545j)	
